n p miqpopt milpopt sdpopt gwopt miqpcpu milpcpu sdpcpu gwcpu
10 0.3 32.0 32.0 31.9999999258 32.0 0.0258960723877 0.0260190963745 0.0583131313324 0.218244075775
10 0.5 56.0 56.0 56.0206284271 56.0 0.027626991272 0.0303659439087 0.0426850318909 0.195676088333
10 0.7 63.0 63.0 64.725343382 63.0 0.0704209804535 0.0825481414795 0.0414879322052 0.197744846344
20 0.3 158.0 158.0 162.948077416 154.0 0.0937628746033 0.222028970718 0.135722875595 0.311871051788
20 0.5 230.0 230.0 237.32195123 217.0 0.298727989197 0.23791718483 0.131039142609 0.354771137238
20 0.7 268.0 268.0 270.846790317 262.0 0.226243019104 0.242361068726 0.101329088211 0.277427196503
30 0.3 311.0 311.0 319.774639599 284.0 0.212298154831 0.276136875153 0.33882689476 0.539551019669
30 0.5 432.0 432.0 442.979499682 399.0 0.783671140671 2.17592692375 0.352387905121 0.552224874496
30 0.7 607.0 607.0 621.616419453 570.0 3.0544500351 8.05394697189 0.454833030701 0.772469997406
40 0.3 439.0 439.0 456.817442931 388.0 1.67964506149 2.34428715706 1.08647108078 1.42661094666
40 0.5 782.0 782.0 807.042794493 714.0 5.31832003593 6.07626986504 1.03930783272 1.31950187683
40 0.7 1019.0 1019.0 1039.31699111 939.0 30.9764299393 79.889496088 0.818315982819 1.04255390167
50 0.3 767.0 767.0 797.878437601 674.0 3.3092019558 5.62322616577 4.36198306084 4.65883803368
50 0.5 1153.0 1153.0 1184.06588372 1033.0 35.159591198 100.115656853 4.05700707436 4.32167315483
50 0.7 1580.0 1565.0 1613.71995251 1451.0 100.068491936 100.188405991 3.43930697441 3.68303394318
60 0.3 1042.0 1042.0 1079.55472371 916.0 14.4877278805 34.7734849453 9.60699105263 9.89611005783
60 0.5 1591.0 1593.0 1639.2891604 1461.0 100.043987036 100.21608901 10.1323230267 10.5008790493
60 0.7 2169.0 2130.0 2224.20735178 2006.0 100.095466852 100.216805935 9.2209239006 9.50972700119
70 0.3 1383.0 1381.0 1441.80575261 1206.0 100.046424866 100.125149012 9.92420601845 10.3046529293
70 0.5 2315.0 2290.0 2391.48961829 2116.0 100.075613976 100.230328083 12.1308159828 12.5071539879
70 0.7 2826.0 2814.0 2901.26814931 2636.0 100.092905998 100.317423105 12.3394341469 12.8489789963
80 0.3 1817.0 1830.0 1902.75221977 1584.0 100.069838047 100.195422888 20.2740559578 20.7075951099
80 0.5 2895.0 2864.0 2999.34953848 2648.0 100.087560892 100.342992067 18.6201760769 19.2261359692
80 0.7 3748.0 3748.0 3912.15010998 3550.0 100.115007877 100.388092995 22.3609220982 22.8055779934
90 0.3 2243.0 2227.0 2335.92040734 1935.0 100.071691036 100.20330596 43.767939806 44.5368928909
90 0.5 3478.0 3420.0 3619.90288359 3186.0 100.134392977 100.335724115 39.6194980145 40.2052469254
90 0.7 4651.0 4613.0 4821.20269953 4382.0 100.178359032 100.583054066 37.7163658142 38.5146420002
