k p miqpopt milpopt sdpopt gwopt miqpcpu milpcpu sdpcpu gwcpu
1 0 48.0 48.0 47.9999999771(8/8) 48.0 0.0492551326752 0.0359869003296 0.0538649559021 0.262567043304
1 1 50.0 50.0 49.9999999816(8/8) 50.0 0.0227599143982 0.027272939682 0.0475981235504 0.330394029617
1 2 43.0 43.0 42.9999999939(8/8) 43.0 0.0571720600128 0.0416679382324 0.0743670463562 0.344935894012
1 3 47.0 47.0 46.9999999803(8/8) 47.0 0.0260009765625 0.044116973877 0.0494539737701 0.273474931717
1 4 49.0 49.0 48.9999999936(8/8) 49.0 0.0219221115112 0.0301768779755 0.0545611381531 0.336982011795
2 0 254.0 254.0 253.999999426(32/32) 196.0 0.0412178039551 0.0776801109314 0.637102842331 0.920584917068
2 1 240.0 240.0 239.999999986(32/32) 181.0 0.0385138988495 0.0660679340363 0.828595876694 1.15816283226
2 2 245.0 245.0 244.999999922(32/32) 188.0 0.0298438072205 0.0451469421387 0.711147069931 1.07397294044
2 3 221.0 221.0 220.999999862(32/32) 178.0 0.0287609100342 0.0458128452301 0.343295812607 0.606892824173
2 4 246.0 246.0 245.999999855(32/32) 194.0 0.0335690975189 0.0728981494904 0.494502782822 0.938210964203
3 0 545.0 545.0 544.999999679(72/72) 372.0 0.056843996048 0.0755670070648 17.8723180294 18.4755249023
3 1 614.0 614.0 613.999998976(72/72) 407.0 0.039892911911 0.10085105896 15.0465919971 15.8971121311
3 2 598.0 598.0 597.999999967(72/72) 406.0 0.0331881046295 0.0542540550232 9.58757901192 9.96671700478
3 3 547.0 547.0 546.999997823(72/72) 364.0 0.0832619667053 0.182346820831 18.8581020832 19.4077501297
3 4 590.0 590.0 589.999999668(72/72) 384.0 0.06196808815 0.124801158905 27.9504330158 28.9166769981
