k p miqpopt milpopt sdpopt gwopt miqpcpu milpcpu sdpcpu gwcpu
1 0 16.0 16.0 15.9999999842(8/8) 16.0 0.0174291133881 0.0230741500854 0.0354340076447 0.184105873108
1 1 16.0 16.0 15.9999999842(8/8) 16.0 0.0189561843872 0.0231471061707 0.0344650745392 0.18617105484
1 2 16.0 16.0 15.9999999842(8/8) 16.0 0.0192010402679 0.026848077774 0.038754940033 0.203670978546
1 3 16.0 16.0 15.9999999842(8/8) 16.0 0.0193328857422 0.0217950344086 0.0372710227966 0.187899112701
1 4 16.0 16.0 15.9999999842(8/8) 16.0 0.0175199508667 0.0236790180206 0.0364320278168 0.185199022293
2 0 80.0 80.0 79.9999999873(32/32) 60.0 0.0207409858704 0.0335052013397 0.325886964798 0.53847193718
2 1 80.0 80.0 79.9999999873(32/32) 59.0 0.0196499824524 0.0347540378571 0.280006885529 0.487823963165
2 2 80.0 80.0 79.9999999873(32/32) 60.0 0.0259079933167 0.0535171031952 0.366422891617 0.588136911392
2 3 80.0 80.0 79.9999999873(32/32) 58.0 0.0193159580231 0.033821105957 0.287989139557 0.495177984238
2 4 80.0 80.0 79.9999999873(32/32) 60.0 0.0226809978485 0.0342979431152 0.276898860931 0.480719089508
3 0 192.0 192.0 191.99999957(72/72) 127.0 0.0232419967651 0.0525588989258 8.59410500526 9.10523891449
3 1 192.0 192.0 191.99999957(72/72) 125.0 0.0367300510406 0.0597460269928 11.7587628365 12.3528428078
3 2 192.0 192.0 191.99999957(72/72) 128.0 0.0422859191895 0.0649390220642 14.6201021671 15.1742770672
3 3 192.0 192.0 191.99999957(72/72) 124.0 0.0890882015228 0.104942083359 14.668804884 15.2427840233
3 4 192.0 192.0 191.99999957(72/72) 124.0 0.0650160312653 0.122519016266 14.6984920502 15.2353689671
4 0 352.0 352.0 351.999999607(128/128) 210.0 0.0501658916473 0.092453956604 382.157871962 383.030845881
4 1 352.0 352.0 351.999999607(128/128) 220.0 0.0425169467926 0.0923359394073 403.178354025 403.987047911
4 2 352.0 352.0 351.999999607(128/128) 217.0 0.0433619022369 0.115158081055 393.655380964 394.516273022
4 3 352.0 352.0 351.999999607(128/128) 212.0 0.0513160228729 0.124799966812 389.736511946 390.559103966
4 4 352.0 352.0 351.999999607(128/128) 212.0 0.0538589954376 0.133445978165 388.680772066 389.566666126
