k p miqpopt milpopt sdpopt gwopt miqpcpu milpcpu sdpcpu gwcpu
1 0 12.0 12.0 11.9999999749(7/7) 12.0 0.0184071063995 0.0231029987335 0.0373840332031 0.191385984421
1 2 12.0 12.0 11.9999999749(7/7) 12.0 0.0165300369263 0.0208320617676 0.0349209308624 0.181920051575
1 3 12.0 12.0 11.9999999749(7/7) 12.0 0.0172209739685 0.0217220783234 0.036367893219 0.194452047348
1 0 9.0 9.0 8.99999999462(6/6) 9.0 0.0169150829315 0.0202090740204 0.0380189418793 0.184536933899
1 1 12.0 12.0 11.9999999749(7/7) 12.0 0.0314679145813 0.0559260845184 0.0553631782532 0.210508108139
1 2 12.0 12.0 11.9999999749(7/7) 12.0 0.0193591117859 0.0230360031128 0.0338490009308 0.182919979095
1 3 12.0 12.0 11.9999999749(7/7) 12.0 0.0239200592041 0.0199458599091 0.0327799320221 0.18301486969
1 4 12.0 12.0 11.9999999749(7/7) 12.0 0.0167760848999 0.0221290588379 0.0347459316254 0.185394048691
2 0 49.0 49.0 48.9999999956(24/24) 44.0 0.026260137558 0.0277218818665 0.131807088852 0.312076091766
2 1 61.0 61.0 60.9999998593(28/28) 49.0 0.0547380447388 0.0329930782318 0.226269960403 0.455574035645
2 2 61.0 61.0 60.9999999627(28/28) 48.0 0.0191869735718 0.0320889949799 0.194150924683 0.396566867828
2 3 60.0 60.0 59.9999999458(28/28) 46.0 0.0189759731293 0.0309731960297 0.191330909729 0.380614995956
2 4 61.0 61.0 60.999999967(28/28) 48.0 0.0187900066376 0.0416049957275 0.244815826416 0.433770895004
3 0 109.0 109.0 108.999999737(54/54) 76.0 0.0208430290222 0.0380799770355 4.98317790031 5.24872207642
3 1 142.0 142.0 141.99999961(63/63) 97.0 0.0289580821991 0.0434701442719 10.3761000633 10.6960890293
3 2 147.0 147.0 146.999999988(63/63) 95.0 0.0262439250946 0.0499589443207 11.8446059227 12.1756551266
3 3 143.0 143.0 142.999999989(63/63) 96.0 0.022007226944 0.0473041534424 12.0774679184 12.4468758106
3 4 143.0 143.0 142.999999761(63/63) 105.0 0.148230075836 0.0765511989594 12.2366011143 12.5557711124
4 0 200.0 200.0 199.99999973(96/96) 125.0 0.0253558158875 0.0559349060059 56.9448251724 57.4790461063
4 1 268.0 268.0 267.999999775(112/112) 163.0 0.0285739898682 0.0696680545807 204.546496868 205.298807859
4 2 270.0 270.0 269.999999959(112/112) 169.0 0.036269903183 0.0981631278992 264.11749506 264.985748053
4 3 268.0 268.0 267.99999988(112/112) 166.0 0.0333399772644 0.0709791183472 216.369757175 217.029500961
4 4 270.0 270.0 269.999999667(112/112) 169.0 0.028254032135 0.0676560401917 203.538647175 204.294741154
