k p miqpopt milpopt sdpopt gwopt miqpcpu milpcpu sdpcpu gwcpu
1 0 12.0 12.0 11.9999999749(7/7) 12.0 0.556278944016 0.0221009254456 0.521668195724 0.692592144012
1 1 12.0 12.0 11.9999999749(7/7) 12.0 0.0186059474945 0.0239820480347 0.0338790416718 0.184319972992
1 2 12.0 12.0 11.9999999749(7/7) 12.0 0.0167331695557 0.0233228206635 0.0342478752136 0.18082690239
1 3 12.0 12.0 11.9999999749(7/7) 12.0 0.0185668468475 0.0200309753418 0.0340259075165 0.181824922562
1 4 12.0 12.0 11.9999999749(7/7) 12.0 0.0207929611206 0.0250499248505 0.0370600223541 0.233193159103
2 0 70.0 70.0 69.9999999813(30/30) 53.0 0.0188710689545 0.0313029289246 0.314268112183 0.504513978958
2 1 70.0 70.0 69.9999999813(30/30) 53.0 0.0188529491425 0.032350063324 0.241031885147 0.436138868332
2 2 70.0 70.0 69.9999999869(30/30) 53.0 0.0224838256836 0.0316050052643 0.238390922546 0.435199022293
2 3 71.0 71.0 70.9999999962(30/30) 57.0 0.0217099189758 0.0353038311005 0.232583999634 0.426213026047
2 4 70.0 70.0 69.9999999898(30/30) 54.0 0.0191791057587 0.0321578979492 0.238010883331 0.438616991043
3 0 177.0 177.0 176.999999969(69/69) 116.0 0.0226500034332 0.0513219833374 7.4460580349 7.80896997452
3 1 177.0 177.0 176.999999946(69/69) 114.0 0.030415058136 0.0519981384277 8.68976092339 9.20238089561
3 2 176.0 176.0 175.999999866(69/69) 117.0 0.0231618881226 0.0519740581512 8.56811618805 8.95248198509
3 3 176.0 176.0 175.999999914(69/69) 116.0 0.0241379737854 0.0561468601227 8.05191087723 8.57256889343
3 4 176.0 176.0 175.999999856(69/69) 112.0 0.0436120033264 0.0899479389191 8.60267710686 9.00760197639
4 0 330.0 330.0 329.999999957(124/124) 199.0 0.0446300506592 0.105231046677 327.252969027 327.928920984
4 1 329.0 329.0 328.999999954(124/124) 198.0 0.0300779342651 0.0789120197296 332.832630157 333.587011099
4 2 330.0 330.0 329.999999951(124/124) 200.0 0.0390589237213 0.0831918716431 336.810853004 337.695471048
4 3 330.0 330.0 329.999999959(124/124) 200.0 0.0300397872925 0.0819661617279 333.189146042 333.901734114
4 4 331.0 331.0 330.999999955(124/124) 202.0 0.0329711437225 0.0815210342407 337.173702955 337.858068943
