k p miqpopt milpopt sdpopt gwopt miqpcpu milpcpu sdpcpu gwcpu
1 0 12.0 12.0 11.9999999749(7/7) 12.0 0.016294002533 0.0207450389862 0.034784078598 0.222406864166
1 1 12.0 12.0 11.9999999749(7/7) 12.0 0.0184898376465 0.020742893219 0.0353999137878 0.185746908188
1 2 12.0 12.0 11.9999999749(7/7) 12.0 0.0167679786682 0.020534992218 0.0345389842987 0.180958986282
1 3 12.0 12.0 11.9999999749(7/7) 12.0 0.0180530548096 0.0215489864349 0.0348780155182 0.20179104805
1 4 12.0 12.0 11.9999999749(7/7) 12.0 0.0289890766144 0.0300781726837 0.0600321292877 0.258810043335
2 0 62.0 62.0 61.9999998917(28/28) 47.0 0.0185739994049 0.0308389663696 0.191987991333 0.382525205612
2 1 61.0 61.0 60.9999998593(28/28) 48.0 0.0201568603516 0.0308787822723 0.202009916306 0.41594004631
2 2 61.0 61.0 60.9999999627(28/28) 50.0 0.0325899124146 0.0410590171814 0.251367092133 0.494931936264
2 3 60.0 60.0 59.9999999458(28/28) 48.0 0.0297589302063 0.0459499359131 0.252387046814 0.511786937714
2 4 61.0 61.0 60.999999967(28/28) 47.0 0.0217349529266 0.0325419902802 0.190776824951 0.389650821686
3 0 147.0 147.0 146.999999987(63/63) 103.0 0.0263710021973 0.0475378036499 11.7990348339 12.1070308685
3 1 142.0 142.0 141.99999961(63/63) 96.0 0.0274708271027 0.045902967453 9.70947098732 10.0123620033
3 2 147.0 147.0 146.999999988(63/63) 101.0 0.0222470760345 0.0459129810333 11.2659881115 11.5654759407
3 3 143.0 143.0 142.999999989(63/63) 93.0 0.0278658866882 0.048033952713 12.1202809811 12.4699277878
3 4 143.0 143.0 142.999999761(63/63) 97.0 0.0408611297607 0.0483558177948 11.3785181046 11.673979044
4 0 268.0 268.0 267.999999643(112/112) 173.0 0.0352511405945 0.06955909729 191.380666971 192.062103987
4 1 268.0 268.0 267.999999775(112/112) 168.0 0.0307240486145 0.0819919109344 200.707664013 201.384927988
4 2 270.0 270.0 269.999999959(112/112) 168.0 0.028412103653 0.0735569000244 249.383850098 250.009833097
4 3 268.0 268.0 267.99999988(112/112) 166.0 0.0287477970123 0.0690088272095 197.740936041 198.379238844
4 4 270.0 270.0 269.999999667(112/112) 173.0 0.0351619720459 0.069846868515 180.257514 180.892743826
